,population,income,house_value,rent,state_code,county_code,tract,unemployment,poverty
0,4027,22984,325000,1062,08,001,007801,0.08416389811738649,0.3022100819468587
1,4598,25444,300500,1061,08,001,007802,0.07263814616755793,0.3229665071770335
2,5749,31779,304000,1190,08,001,007900,0.0659121171770972,0.18072708297095147
3,5515,30644,336500,1363,08,001,008000,0.04006968641114982,0.09338168631006347
4,1538,30441,-666666666,1815,08,001,008100,0.02954048140043764,0.2340702210663199
5,6892,29274,312100,1971,08,001,008200,0.05127478753541077,0.0732733604178758
6,5827,29177,211500,1123,08,001,008308,0.047231900890437474,0.12184657628282135
7,4023,28949,67800,1205,08,001,008309,0.05073221757322176,0.12254536415610241
8,4211,46744,343700,1217,08,001,008354,0.005708169818052087,0.10757539776775113
9,5016,27990,323500,1045,08,001,008355,0.05923589204346302,0.1762360446570973
10,5491,41541,374100,1201,08,001,008401,0.026402640264026403,0.05918776179202331
11,4974,50228,412700,1238,08,001,008402,0.04042631385520029,0.04121431443506232
12,6952,38430,336100,2059,08,001,008505,0.07184409540430482,0.11435558112773303
13,6249,33160,303700,1332,08,001,008506,0.04154390100176782,0.08689390302448392
14,6091,34045,330500,2109,08,001,008507,0.0785385500575374,0.08881956985716631
15,5536,34940,345600,1815,08,001,008508,0.020671834625323,0.052745664739884394
16,9478,56396,449700,2176,08,001,008524,0.054333764553686936,0.058978687486811565
17,7366,52192,443400,1803,08,001,008526,0.03408091468777485,0.038012489818083084
18,8142,41688,366700,1836,08,001,008533,0.041718815185648725,0.054532056005895356
19,4693,44688,351300,2050,08,001,008534,0.03661662394727206,0.05497549541870871
20,4626,42705,352400,1618,08,001,008535,0.028008298755186723,0.07241677475140511
21,4346,54794,458800,2229,08,001,008536,0.011558389796731766,0.039116428900138056
22,10456,60297,444500,2345,08,001,008538,0.060218978102189784,0.041507268553940324
23,9156,55069,470100,2024,08,001,008540,0.07220609579100146,0.038772389689820885
24,5898,58715,476300,2310,08,001,008544,0.04245283018867924,0.0849440488301119
25,6265,46884,412700,1877,08,001,008545,0.032229965156794424,0.02857142857142857
26,3999,41484,343900,1917,08,001,008546,0.05018510900863842,0.0415103775943986
27,3243,47245,355700,1679,08,001,008547,0.035677352637021716,0.037927844588344126
28,1729,48913,358700,1819,08,001,008548,0.012833168805528134,0.09832272990167727
29,4113,47763,355900,2293,08,001,008549,0.036807438977140644,0.0836372477510333
30,7788,43928,388500,2124,08,001,008550,0.03131272581292654,0.020159219311761685
31,1647,64872,565500,-666666666,08,001,008551,0.030526315789473683,0.03885853066180935
32,4378,47280,441000,1628,08,001,008552,0.06561360874848117,0.07149383280036546
33,5096,52552,564400,1887,08,001,008553,0.038485412787088766,0.07790423861852433
34,2750,28882,382300,1197,08,001,008554,0.19364375461936437,0.056
35,6145,35620,382300,1691,08,001,008555,0.0688111888111888,0.17477624084621643
36,5912,60088,377500,1797,08,001,008556,0.023171049205935955,0.03213802435723951
37,925,44485,542100,-666666666,08,001,008557,0.06655290102389079,0.024864864864864864
38,3977,59712,401900,-666666666,08,001,008558,0.008828996282527882,0.02891626854412874
39,8057,44906,366000,2295,08,001,008559,0.0540475618544319,0.03636589301228745
40,2195,61962,734800,-666666666,08,001,008560,0.05915267785771383,0.011389521640091117
41,4649,51402,625100,3000,08,001,008561,0.015859030837004406,0.008604000860400087
42,5312,49615,432300,2450,08,001,008562,0.0643030935001738,0.11483433734939759
43,4414,44930,374600,2067,08,001,008563,0.022370486656200943,0.02967829632985954
44,1400,37554,458500,1614,08,001,008564,0.0577319587628866,0.04214285714285714
45,7493,37971,354900,1459,08,001,008565,0.02433281004709576,0.044041105031362604
46,1991,28864,280700,1121,08,001,008603,0.026260504201680673,0.2782521346057258
47,5472,31610,312800,1666,08,001,008604,0.021080368906455864,0.0535453216374269
48,3998,45516,333200,1307,08,001,008605,0.06576402321083172,0.08104052026013006
49,6083,37715,298100,1242,08,001,008606,0.07742125404768914,0.04981094854512576
50,6400,27487,279900,1400,08,001,008705,0.07195507195507196,0.2434375
51,5882,25296,269500,1114,08,001,008706,0.044633368756641874,0.1462087725263516
52,7696,29801,285600,1166,08,001,008709,0.035331065166186865,0.1897089397089397
