,population,income,house_value,rent,state_code,county_code,tract,unemployment,poverty
0,4548,41433,310000,969,08,031,002803,0.06002233389168062,0.11675461741424802
1,2082,30744,240200,1147,08,031,005502,0.02502606882168926,0.11479346781940442
2,4564,32252,168900,1245,08,031,007088,0.005431093007467753,0.15030674846625766
3,5054,21632,99500,778,08,031,007089,0.04297820823244552,0.12821527502967947
4,2913,27802,142000,579,08,095,967600,0.04353932584269663,0.18331616889804325
5,1458,20136,109800,613,08,095,967700,0.0744047619047619,0.0850480109739369
6,4272,37851,530200,1370,08,097,000401,0.1145760336370007,0.0650749063670412
7,2963,,1023700,1135,08,097,000402,0.06518196632265073,0.08606142423219709
8,2202,41778,484600,1456,08,097,000500,0.04199288256227758,0.04450499545867393
9,2034,20726,98900,492,08,099,000700,0.10792079207920792,0.22517207472959685
10,2813,,215700,1313,08,101,002911,0.07947976878612717,0.07358691788126555
11,2022,25161,155400,868,08,101,002912,0.08278145695364239,0.16271018793273986
12,3491,,198300,1172,08,101,002913,0.06205673758865248,0.021483815525637353
13,3424,26147,141000,1091,08,101,002914,0.09903244166192374,0.09929906542056074
14,2460,26871,160700,890,08,101,002915,0.12128712871287128,0.0975609756097561
15,2954,21565,96100,803,08,101,002916,0.0639269406392694,0.14218009478672985
16,2874,24462,176300,949,08,101,002917,0.13086770981507823,0.09220598469032706
17,6244,33866,181000,1398,08,101,002918,0.05608878224355129,0.03811659192825112
18,3316,,196000,1146,08,101,003105,0.08376288659793814,0.027141133896260553
19,1200,25375,164200,1021,08,101,003106,0.17810760667903525,0.08916666666666667
20,2123,,133800,415,08,101,003500,0.2115732368896926,0.3716439001413095
21,4434,29118,210400,876,08,123,001800,0.04764005293339215,0.16531348669373028
22,3937,16370,93800,488,08,021,974800,0.125,0.25323850647701296
23,5961,,131700,779,08,001,007900,0.12069553358336174,0.33417211877201813
24,4240,,254200,980,08,001,008401,0.08411214953271028,0.07641509433962264
25,7815,,241000,1635,08,001,008524,0.07011469378922311,0.02380038387715931
26,2668,,135900,594,08,043,978800,0.09569377990430622,0.22488755622188905
27,2417,,164400,652,08,043,978400,0.11688311688311688,0.15887463798096815
28,3164,22339,167400,694,08,043,979100,0.0896551724137931,0.18015170670037928
29,1931,,296500,696,08,043,979200,0.09354413702239789,0.04039357845675816
30,3744,22015,179000,810,08,043,978100,0.10304878048780487,0.16025641025641027
31,3204,,143000,1119,08,043,979400,0.09262948207171315,0.060549313358302125
32,3341,25210,194700,741,08,043,979000,0.06390977443609022,0.0772223885064352
33,2109,15000,64500,699,08,101,001200,0.29923273657289,0.4295874822190612
34,1496,18566,78900,700,08,101,002200,0.14637904468412943,0.2660427807486631
35,3040,21390,87600,840,08,101,002500,0.16778523489932887,0.20296052631578948
36,3751,15605,88800,546,08,101,002600,0.12942612942612944,0.39322847240735803
37,2647,,124100,841,08,101,000100,0.10439164866810655,0.16849263316962598
38,1180,12827,74500,551,08,101,001400,0.05714285714285714,0.35423728813559324
39,1849,31179,134500,721,08,101,001600,0.09263657957244656,0.08869659275283938
40,3342,18242,95100,735,08,101,002300,0.08409250175192712,0.22471573907839618
41,2767,,105400,600,08,121,924200,0.04815650865312265,0.08384531984098302
42,7163,,110800,906,08,123,000703,0.11175337186897881,0.2849364791288566
