,population,income,house_value,rent,tract,unemployment,poverty
118,4149,12675,156800,647,08001007801,0.12,0.58
119,3905,21673,138200,1448,08031008304,0.17,0.22
120,3966,30729,185800,1043,08031000201,0.07,0.1
121,3550,30682,181200,1186,08101002806,0.02,0.06
122,3239,19968,100100,775,08101002901,0.12,0.28
123,4358,34903,221700,-666666666,08101002906,0.07,0.05
124,2583,32250,197400,829,08101003004,0.09,0.07
125,2075,21554,132800,801,08101003103,0.09,0.18
126,2058,14416,77300,641,08101000600,0.15,0.36
127,2145,24410,106300,646,08101001500,0.11,0.28
128,3186,16900,77400,735,08101002000,0.26,0.35
129,4343,30678,156200,813,08101002807,0.07,0.07
130,1944,17257,81400,758,08101000200,0.16,0.29
131,6011,24328,130500,692,08101000902,0.16,0.22
132,2672,19892,139200,589,08043978800,0.09,0.23
133,2618,21737,161400,663,08043978400,0.11,0.12
134,3259,23911,164100,815,08043979100,0.07,0.16
135,2439,32500,291000,699,08043979200,0.08,0.03
136,3788,24123,179900,860,08043978100,0.08,0.17
137,3076,20505,129600,880,08043979400,0.12,0.06
138,3689,26655,205500,679,08043979000,0.11,0.08
139,1970,14366,64900,699,08101001200,0.27,0.39
140,1552,18448,81700,687,08101002200,0.2,0.2
141,3120,21518,91200,828,08101002500,0.17,0.25
142,3342,15370,91300,556,08101002600,0.16,0.37
143,2769,21025,113900,835,08101000100,0.09,0.2
144,1169,16326,78200,574,08101001400,0.09,0.28
145,1824,35361,142200,750,08101001600,0.09,0.07
146,3606,16143,92500,720,08101002300,0.08,0.25
147,2735,22930,103100,562,08121924200,0.06,0.11
148,7236,19451,102000,846,08123000703,0.13,0.33
149,552,33571,124100,1344,08123000704,0.05,0.1
150,1377,21824,236800,850,08123000705,0.05,0.26
151,1856,33947,821100,1339,08113968101,0.04,0.11
152,1846,27430,944000,859,08113968102,0.13,0.12
153,2365,20941,84500,559,08115968300,0.08,0.15
154,3562,17047,88600,688,08123000501,0.15,0.34
155,3051,18023,93600,611,08123000502,0.19,0.35
156,5339,16895,48300,650,08123001003,0.1,0.4
157,4531,19190,98800,726,08123001004,0.13,0.36
158,6778,25512,147600,1109,08123001005,0.06,0.15
159,3814,37679,257400,1129,08093000200,0.05,0.02
160,4794,38231,306200,867,08049000201,0.06,0.06
161,4196,35401,242800,1025,08059010206,0.06,0.09
162,2132,35714,149500,1173,08059009830,0.05,0.07
163,2341,26214,221800,-666666666,08093000500,0.04,0.09
164,5712,33809,240800,783,08093000100,0.09,0.08
165,3404,21593,178900,771,08109977600,0.16,0.2
166,2807,15981,84400,469,08109977700,0.06,0.31
167,6455,37543,322300,1313,08077001402,0.06,0.06
168,2279,20381,235300,628,08077000200,0.07,0.24
169,4795,30384,189500,1158,08077001102,0.1,0.1
170,2202,33016,337300,1121,08077001200,0.05,0.07
171,5407,21573,121300,768,08077001705,0.15,0.2
172,3157,23246,266800,895,08077001800,0.07,0.15
173,8932,23524,157100,1202,08077000800,0.1,0.17
174,6541,30421,264900,975,08077001002,0.07,0.09
175,4697,31945,189100,1037,08059009834,0.06,0.13
176,5951,29625,214500,1226,08059010208,0.12,0.12
177,6130,27352,198100,894,08059010209,0.07,0.08
178,2466,22665,152800,800,08059010406,0.06,0.25
179,5344,35993,259900,889,08059010502,0.11,0.12
180,6067,21438,194000,809,08059011550,0.12,0.34
181,3990,19466,211200,817,08059011601,0.1,0.34
182,5745,43651,308200,1769,08059011726,0.08,0.04
183,3556,36355,271700,1614,08059011727,0.05,0.04
184,2138,40665,223900,1449,08059012046,0.07,0.04
185,1915,43482,243100,1692,08059009829,0.08,0.02
186,2444,48214,305600,-666666666,08059009839,0.03,0.02
187,3001,47611,478600,1256,08059009847,0.11,0.07
