,population,income,house_value,rent,tract,unemployment,poverty
0,3176,62863,743400,1667,08031003300,0.04,0.06
1,2563,72108,640400,2138,08031003401,0.02,0.04
2,4997,65602,864600,2311,08031003402,0.06,0.04
3,3333,25989,303000,1173,08031003501,0.04,0.2
4,3686,30843,268500,1190,08031003502,0.03,0.12
5,4888,38484,426600,1234,08031003601,0.04,0.23
6,4755,41201,390000,1137,08031003602,0.07,0.21
7,3500,45784,491500,1712,08031003603,0.02,0.11
8,3359,50174,592200,1132,08031003701,0.01,0.07
9,5199,42048,563300,1270,08031003702,0.02,0.09
10,3050,44976,606000,1142,08031003703,0.03,0.16
11,3234,51875,718800,1690,08031003801,0.08,0.03
12,3803,83307,919000,2172,08031003802,0.06,0.04
13,4218,63945,847900,1655,08031003901,0.01,0.03
14,4181,68333,681900,1855,08031003902,0.06,0.06
15,3509,49948,724600,2333,08031004002,0.0,0.03
16,4856,55576,398400,1988,08031004003,0.05,0.03
17,1911,42138,459600,1733,08031004004,0.02,0.07
18,3248,36336,445000,1211,08031004005,0.04,0.16
19,4887,43910,837700,1429,08031004006,0.04,0.15
20,4600,31202,361700,1253,08031004101,0.07,0.19
21,5276,22050,390100,1649,08031004102,0.11,0.19
22,6526,55714,574100,1938,08031004103,0.02,0.03
23,5174,56386,426400,1782,08031004104,0.04,0.07
24,7447,76000,599200,2237,08031004108,0.03,0.02
25,1032,64786,634800,-666666666,08031004109,0.0,0.02
26,4901,65625,652600,-666666666,08031004110,0.05,0.05
27,5803,76638,638800,1449,08031004111,0.01,0.01
28,6070,53393,554800,1741,08031004112,0.02,0.04
29,1884,61250,564300,2024,08031004113,0.03,0.04
30,4844,55291,759600,1436,08031004201,0.04,0.05
31,4649,51456,620800,1357,08031004202,0.05,0.06
32,3023,49271,595400,1273,08031004302,0.01,0.04
33,4003,78646,1108800,2690,08031004303,0.03,0.03
34,4792,54172,700200,1626,08031004306,0.09,0.07
35,1824,39598,531800,1070,08031004307,0.01,0.06
36,3241,45435,465600,1421,08031004308,0.01,0.08
37,3244,52891,441500,1294,08031003205,0.06,0.14
38,4060,51962,443400,1383,08031004309,0.05,0.05
39,2481,62625,547300,1733,08031004310,0.02,0.02
40,4397,36504,335400,1376,08031004403,0.06,0.06
41,6045,27096,338000,1206,08031004404,0.11,0.25
42,4309,52433,685200,1619,08031004406,0.04,0.03
43,5187,44615,528600,1656,08031004407,0.1,0.11
44,5096,31613,222800,1124,08031004503,0.03,0.3
45,4535,25482,276100,1194,08031004504,0.05,0.33
46,2107,23750,160600,915,08085966301,0.09,0.19
47,3748,21976,184800,934,08085966302,0.15,0.26
48,1856,24506,248400,-666666666,08085966401,0.13,0.17
49,4630,29756,214900,901,08085966402,0.02,0.15
50,3064,29954,399100,1396,08085966501,0.06,0.09
51,4063,30823,290100,1267,08085966502,0.02,0.09
52,3566,24237,215400,776,08085966503,0.03,0.11
53,5518,30759,183700,1041,08085966601,0.04,0.09
54,4443,37079,404500,1077,08085966602,0.04,0.09
55,2849,25946,377800,918,08087000100,0.02,0.12
56,2877,33239,283900,973,08087000200,0.07,0.08
57,1954,27662,181300,725,08087000300,0.02,0.09
58,3941,33456,195400,823,08087000400,0.01,0.07
59,2823,26895,180400,888,08087000500,0.15,0.07
60,6556,27884,212000,896,08087000600,0.03,0.11
61,5994,22113,181000,943,08087000700,0.04,0.16
62,1623,31463,243300,876,08087000800,0.01,0.08
63,1520,23046,99600,717,08089968000,0.08,0.22
64,2420,12232,76500,712,08089968100,0.11,0.39
65,2751,17361,106000,882,08089968200,0.03,0.26
66,4154,30529,143000,623,08089968300,0.03,0.19
67,1255,35000,76600,627,08089968400,0.07,0.13
68,1691,30129,157600,802,08089968500,0.03,0.09
69,4493,26213,87700,667,08089968600,0.07,0.19
70,1335,36271,528900,1672,08091967601,0.04,0.05
71,3555,34489,465400,1278,08091967602,0.04,0.07
72,1144,28922,398600,-666666666,08093000101,0.14,0.12
73,5883,38310,439600,-666666666,08093000102,0.04,0.06
74,4185,41721,373000,1375,08093000200,0.03,0.04
75,2926,33082,349700,1159,08093000300,0.08,0.12
76,1078,39622,339400,-666666666,08093000400,0.03,0.09
77,3129,36439,318900,-666666666,08093000500,0.12,0.07
78,3133,36186,201900,762,08095967600,0.0,0.07
79,1210,31020,171100,719,08095967700,0.02,0.1
80,3911,54861,606600,1337,08097000101,0.0,0.04
81,3693,40123,594600,1690,08097000102,0.08,0.09
82,2056,43921,365900,1669,08097000402,0.03,0.04
83,2704,55263,945200,1760,08097000403,0.01,0.02
84,2422,45510,2000001,1608,08097000404,0.02,0.03
85,3194,48115,363800,1489,08097000500,0.05,0.1
86,1386,36958,162500,665,08099000100,0.02,0.07
87,2406,22528,54800,705,08099000200,0.08,0.17
88,4725,26935,146200,746,08099000300,0.06,0.16
89,1327,26804,81300,-666666666,08099000600,0.02,0.12
90,2191,29063,88000,562,08099000700,0.04,0.21
91,2723,29844,169200,732,08101000100,0.04,0.15
92,5088,26674,212100,1129,08031004505,0.02,0.25
93,3685,21482,263500,1023,08031004506,0.02,0.32
94,6885,31156,305500,1388,08031004601,0.02,0.14
95,7185,29805,285100,1045,08031004602,0.02,0.24
96,6037,32321,288100,1352,08031004603,0.1,0.09
97,7424,26789,379600,1200,08031004700,0.03,0.11
98,3825,34643,359400,1714,08031004801,0.03,0.02
99,2649,33021,365000,1250,08031005001,0.02,0.09
100,2616,37308,613800,1315,08031005003,0.07,0.15
101,5849,37743,237700,1216,08031005004,0.07,0.14
102,3738,52990,453400,1793,08031005102,0.03,0.02
103,3929,32395,371700,1149,08031005104,0.05,0.15
104,3643,42777,445700,1842,08031005200,0.04,0.09
105,1718,38811,434000,1694,08031005300,0.1,0.09
106,2052,31600,376900,1652,08031005502,0.05,0.12
107,5279,39348,378800,1077,08031005503,0.03,0.15
108,4141,55964,597000,1718,08031006701,0.01,0.1
109,3068,55926,471800,1775,08031006804,0.04,0.03
110,6315,34553,321900,1368,08031006810,0.01,0.11
111,4185,46512,289900,1504,08031006812,0.05,0.1
112,4433,38470,275300,1357,08031006813,0.04,0.1
113,4970,32864,391500,1198,08031006814,0.02,0.09
114,2139,51602,626500,1950,08031006815,0.03,0.0
115,5146,42409,433800,1390,08031006816,0.06,0.08
116,2646,41406,498500,1919,08031006817,0.02,0.11
117,4072,53782,359600,1234,08031006818,0.04,0.1
118,3528,29196,393100,1132,08031006902,0.08,0.11
119,2537,36917,567900,1255,08031006903,0.08,0.11
120,4250,31057,-666666666,1255,08031007006,0.04,0.1
121,4333,42426,283000,1564,08031007013,0.01,0.12
122,4643,27274,320100,1015,08031007037,0.07,0.2
123,5230,32537,276200,1680,08031007088,0.05,0.09
124,1714,36688,207000,1086,08031007090,0.0,0.13
125,3402,28897,194500,1073,08031007091,0.08,0.08
126,4098,27579,237600,1486,08031008304,0.02,0.15
127,5741,22073,285800,1671,08031008305,0.11,0.24
128,7097,25403,303100,1193,08031008306,0.1,0.19
129,7484,31367,265500,1336,08031008312,0.07,0.07
130,4873,26669,289900,1566,08031008386,0.05,0.16
131,7329,32973,282700,1577,08031008387,0.05,0.08
132,11421,38330,290700,1644,08031008388,0.05,0.08
133,14014,39185,355100,2272,08031008389,0.1,0.06
134,9402,36051,321300,1696,08031008390,0.02,0.11
135,7305,35190,311400,1770,08031008391,0.02,0.05
136,6144,36720,362600,1356,08031011902,0.02,0.07
137,2600,38571,375000,1352,08031011903,0.03,0.05
138,2083,11735,-666666666,-666666666,08101000300,,0.1
139,2526,30000,120100,913,08101000400,0.06,0.23
140,2140,20151,123000,904,08101000500,0.08,0.26
141,2033,20595,110700,731,08101000600,0.11,0.25
142,3310,20256,72800,800,08101000800,0.12,0.44
143,6032,26283,147700,825,08101000902,0.07,0.21
144,435,5000,-666666666,463,08101000903,0.08,0.22
145,4174,28942,151400,765,08101000904,0.01,0.14
146,2051,22977,181900,761,08101000905,0.04,0.18
147,4799,20778,108200,871,08101001000,0.13,0.26
148,2318,25468,83300,880,08101001100,0.13,0.25
149,2185,16552,67400,847,08101001200,0.15,0.35
150,1551,15526,87500,434,08101001400,0.14,0.36
151,2579,19728,120900,748,08101001500,0.03,0.34
152,1701,34602,184500,1058,08101001600,0.07,0.11
153,4754,31761,174800,832,08101001700,0.08,0.11
154,2382,26973,113700,977,08101001800,0.08,0.17
155,1659,21698,115000,727,08101001900,0.2,0.24
156,3519,17140,122700,761,08101002000,0.12,0.34
157,1495,15896,72900,757,08101002100,0.09,0.35
158,1524,16719,93500,967,08101002200,0.13,0.41
159,4104,23645,118900,860,08101002300,0.06,0.15
160,1994,20068,101700,700,08101002400,0.08,0.24
161,2668,22841,92100,931,08101002500,0.04,0.2
162,3959,20207,101900,721,08101002600,0.12,0.4
163,5449,25938,139300,931,08101002700,0.03,0.18
164,5123,31292,145300,831,08101002801,0.06,0.14
165,3694,32208,196100,772,08101002802,0.12,0.12
166,4518,29928,211700,903,08101002804,0.04,0.12
167,3849,37646,211300,1682,08101002806,0.07,0.11
168,4941,31660,194000,916,08101002807,0.04,0.09
169,3463,37083,307200,985,08101002808,0.07,0.09
170,3176,20748,110200,1008,08101002901,0.16,0.26
171,4253,33883,257600,1750,08101002906,0.07,0.11
172,2827,37031,262700,1612,08101002911,0.05,0.04
173,2061,26793,248900,946,08101002912,0.02,0.1
174,3067,42500,258600,850,08101002913,0.03,0.05
175,2025,25413,106700,900,08101000200,0.05,0.25
176,3405,32860,173500,914,08101002914,0.06,0.07
177,2759,36897,237100,1204,08101002915,0.07,0.08
178,2810,24333,96400,1153,08101002916,0.02,0.12
179,3210,34697,280300,1151,08101002917,0.04,0.03
180,4537,26752,183700,1075,08101002919,0.06,0.11
181,2712,34328,202900,1438,08101002920,0.01,0.18
182,4065,36303,224800,-666666666,08101002921,0.12,0.04
183,2438,42674,266800,1589,08101002922,0.0,0.17
184,4274,21662,276000,1031,08001007801,0.07,0.28
185,4491,24519,278500,1032,08001007802,0.04,0.33
186,5561,29538,284600,1162,08001007900,0.03,0.15
187,5713,22448,264000,1205,08001008000,0.05,0.12
188,1440,36591,33000,1750,08001008100,0.03,0.22
189,6779,27845,273000,1855,08001008200,0.05,0.09
190,5505,49438,473700,1498,08031012010,0.02,0.02
191,3518,40826,314300,1669,08031012015,0.04,0.13
192,2977,37157,278400,1366,08031012016,0.05,0.05
193,3973,36116,509800,1325,08031015300,0.1,0.15
194,5399,29074,414000,1285,08031015400,0.04,0.15
195,3421,34247,406100,1306,08031015500,0.04,0.11
196,8737,29607,294600,1302,08031015600,0.06,0.17
197,6087,25892,337600,1275,08031015700,0.07,0.16
198,1874,42220,228700,1505,08031015800,0.0,0.09
199,0,-666666666,-666666666,-666666666,08031980001,,
200,0,-666666666,-666666666,-666666666,08031980100,,
201,780,4852,541700,-666666666,08031980200,0.03,0.0
202,1896,31420,167700,-666666666,08033000100,0.04,0.07
203,4280,39507,289200,1581,08035013904,0.04,0.09
204,4485,37290,440800,1536,08035013905,0.05,0.03
205,5868,53732,410200,1555,08035013907,0.04,0.04
206,5928,48831,632900,-666666666,08035013909,0.05,0.02
207,7732,56010,473800,1910,08035013910,0.03,0.02
208,7774,48879,568000,3175,08035013911,0.02,0.02
209,5568,47622,596300,1706,08035013912,0.05,0.06
210,2964,65197,537200,-666666666,08035013913,0.0,0.1
211,3679,48495,509200,-666666666,08035013914,0.05,0.0
212,2763,47429,558300,2118,08035013915,0.01,0.04
213,4903,52973,427300,1795,08035014005,0.01,0.03
214,6902,65313,479200,2385,08035014006,0.03,0.01
215,3608,51154,498200,1631,08035014007,0.09,0.04
216,9849,63100,500300,1347,08035014008,0.03,0.01
217,4251,49677,429800,2297,08035014009,0.06,0.04
218,6265,42179,449000,1686,08035014010,0.02,0.08
219,6289,72341,603500,1619,08035014011,0.03,0.02
220,8935,62633,577300,3501,08035014013,0.03,0.01
221,4911,48842,376900,1200,08035014014,0.02,0.02
222,3763,39937,286200,1645,08035014015,0.06,0.03
223,5670,47845,514500,2661,08035014016,0.01,0.02
224,2862,49655,563500,1794,08035014017,0.0,0.06
225,4113,62074,507300,1781,08035014107,0.02,0.01
226,5235,53212,449900,1820,08035014108,0.03,0.01
227,2123,43580,534900,1096,08031012001,0.01,0.07
228,3125,65978,578900,1907,08035014109,0.04,0.0
229,5609,44831,470700,1588,08035014110,0.06,0.06
230,3732,46554,424100,2250,08035014112,0.03,0.03
231,3251,53815,478400,2403,08035014113,0.03,0.03
232,3433,40192,378300,1953,08035014114,0.02,0.04
233,4614,62095,586900,1804,08035014115,0.02,0.02
234,5297,55939,884100,1680,08035014116,0.01,0.04
235,2015,38789,230400,-666666666,08101002923,0.05,0.01
236,1610,18315,120000,1150,08101003001,0.11,0.16
237,2769,39783,285300,850,08101003004,0.02,0.08
238,1860,26111,188500,600,08101003103,0.11,0.26
239,2138,32340,200400,881,08101003104,0.05,0.04
240,3202,37589,256100,-666666666,08101003105,0.02,0.05
241,1540,24592,241700,765,08101003106,0.02,0.11
242,3333,23824,197200,1075,08101003200,0.06,0.15
243,1783,14519,72700,505,08101003500,0.17,0.28
244,2082,17398,88500,730,08101003600,0.04,0.29
245,0,-666666666,-666666666,-666666666,08101980100,,
246,3893,34966,248000,773,08103951100,0.08,0.1
247,2476,29583,164500,750,08103951200,0.03,0.1
248,4685,20435,131000,536,08105976700,0.15,0.19
249,1693,24318,88200,655,08105976800,0.06,0.15
250,1905,27321,238900,722,08105977001,0.05,0.1
251,3017,28780,290400,589,08105977002,0.07,0.12
252,1920,42351,614700,858,08107000100,0.02,0.22
253,2570,41074,261300,989,08107000200,0.01,0.08
254,2342,44219,403900,1006,08107000300,0.03,0.06
255,4021,34279,482400,1477,08107000400,0.07,0.14
256,4135,38523,784900,1345,08107000500,0.02,0.06
257,3044,45753,677300,1575,08107000600,0.03,0.05
258,1927,45294,399400,1615,08107000701,0.05,0.11
259,1582,37417,659600,1548,08107000702,0.14,0.05
260,1522,43936,826200,-666666666,08107000703,0.0,0.14
261,2254,36660,419800,1553,08107000800,0.02,0.06
262,3426,24402,183400,731,08109977600,0.07,0.15
263,3304,24441,96000,605,08109977700,0.12,0.17
264,646,38859,348700,1038,08111972600,0.06,0.16
265,2018,41553,415100,1448,08113968101,0.03,0.14
266,1902,33795,848700,748,08113968102,0.03,0.19
267,2333,39800,503100,1583,08113968103,0.01,0.03
268,1857,26618,283500,1099,08113968200,0.06,0.07
269,2306,27422,111300,600,08115968300,0.06,0.2
270,809,41386,408700,1311,08117000101,0.0,0.0
271,5765,43343,573400,1172,08117000102,0.04,0.07
272,1160,45992,-666666666,-666666666,08117000103,0.0,0.04
273,1145,22188,611700,715,08117000201,0.01,0.34
274,3358,34311,476500,1412,08117000202,0.07,0.19
275,3673,47570,611900,1472,08117000203,0.01,0.04
276,2527,43139,618300,2079,08117000301,0.02,0.07
277,1529,39961,611700,1674,08117000302,0.0,0.11
278,1720,44778,770400,2530,08117000403,0.0,0.0
279,1741,47607,833900,1977,08117000404,0.1,0.0
280,4446,33919,670700,1453,08117000405,0.02,0.05
281,5837,27543,151100,1030,08001008308,0.07,0.16
282,4113,27870,47300,1141,08001008309,0.09,0.16
283,3785,44583,304900,1373,08001008354,0.02,0.13
284,5048,30129,277700,1125,08001008355,0.04,0.1
285,5326,37725,362400,1208,08001008401,0.03,0.1
286,4904,43300,371100,1214,08001008402,0.07,0.03
287,7373,31722,320800,1905,08001008505,0.07,0.12
288,6581,29469,212200,1186,08001008506,0.03,0.1
289,6632,33535,314200,1891,08001008507,0.02,0.05
290,5831,32872,327800,1610,08001008508,0.02,0.06
291,9726,52750,405000,1899,08001008524,0.05,0.07
292,7227,48423,416100,1714,08001008526,0.03,0.05
293,8532,39875,347500,1700,08001008533,0.03,0.04
294,4851,42152,331000,2123,08001008534,0.02,0.03
295,4008,41693,314000,1662,08001008535,0.02,0.05
296,3716,51340,416200,1935,08001008536,0.01,0.04
297,8344,58693,412900,2325,08001008538,0.04,0.03
298,8996,47130,444400,1718,08001008540,0.08,0.04
299,6086,47311,433700,2238,08001008544,0.03,0.08
300,7186,42387,380700,2229,08001008545,0.04,0.02
