,population,income,house_value,rent,state_code,county_code,tract,unemployment,poverty
0,2871,33101,214700,925,08,101,003004,0.08197831978319783,0.06304423545802856
1,1865,25523,131900,740,08,101,003103,0.06462984723854288,0.20911528150134048
2,2071,14446,79100,644,08,101,000600,0.20024125452352232,0.362143891839691
3,2184,25597,117400,678,08,101,001500,0.0541740674955595,0.2532051282051282
4,3087,18881,76200,801,08,101,002000,0.1339421613394216,0.3569808875931325
5,4362,26920,159300,913,08,101,002807,0.09243295019157088,0.12379642365887207
6,1958,18125,79300,823,08,101,000200,0.09950248756218906,0.24361593462717057
7,6040,22438,126300,674,08,101,000902,0.14271781534460337,0.2435430463576159
8,1347,20487,105100,619,08,101,001900,0.07022900763358779,0.22865627319970305
9,2238,28472,169900,1068,08,101,003104,0.06736242884250475,0.11751563896336015
10,2384,14021,63500,850,08,101,001100,0.1559536354056902,0.5381711409395973
11,6481,33695,167700,1031,08,101,002903,0.08533501896333755,0.18978552692485728
12,3470,26263,167100,727,08,101,003200,0.08230958230958231,0.20461095100864554
13,4469,23353,141700,676,08,101,001700,0.05941962229387379,0.13269187737748936
14,2232,18984,166100,661,08,101,000905,0.0873134328358209,0.22580645161290322
15,4213,31209,225800,1194,08,059,012047,0.06499032882011606,0.05316876335153098
16,3982,47798,355800,1750,08,059,012049,0.03460514640638864,0.01582119537920643
17,3905,50379,485400,1470,08,059,012050,0.03754266211604096,0.06376440460947504
18,5349,38210,250900,1619,08,059,012052,0.043424699722821064,0.03757711721817162
19,4047,40391,388100,1292,08,059,012054,0.04007203962179198,0.025203854707190512
20,5764,40914,315200,1397,08,059,012043,0.04192139737991266,0.04077029840388619
21,4024,50633,371100,1197,08,059,012058,0.029787234042553193,0.020129224652087475
22,3054,47955,399700,891,08,059,010504,0.06317119393556538,0.010150622134905042
23,5718,14321,448300,1061,08,059,010000,0.040348464007336084,0.16037075900664569
24,3450,30216,294100,787,08,059,010211,0.09899888765294772,0.11884057971014493
25,4352,41752,291900,1110,08,059,011712,0.05756302521008403,0.050551470588235295
26,5348,49667,418800,1889,08,059,011724,0.049251870324189526,0.02580403889304413
27,3250,44901,401100,1169,08,059,012027,0.054982817869415807,0.05323076923076923
28,2601,39904,444600,1950,08,059,012032,0.06930693069306931,0.06728181468665898
29,2776,52582,393900,1263,08,059,012033,0.05148514851485148,0.0234149855907781
30,2704,30471,226700,1280,08,059,009832,0.07278481012658228,0.05621301775147929
