,population,income,house_value,rent,state_code,county_code,tract,unemployment,poverty
969,1674,38150,324800,1000,08,043,979200,0.06,0.04
970,3732,23917,181800,846,08,043,978100,0.09,0.11
971,3198,21281,142200,1158,08,043,979400,0.08,0.07
972,3471,24929,212200,789,08,043,979000,0.02,0.1
973,2130,15589,70300,728,08,101,001200,0.22,0.36
974,1469,14213,78200,778,08,101,002200,0.14,0.39
975,2970,22325,89900,839,08,101,002500,0.1,0.19
976,3824,15444,80200,541,08,101,002600,0.1,0.4
977,2675,23929,148300,895,08,101,000100,0.08,0.11
978,1290,15656,77400,607,08,101,001400,0.11,0.31
979,1822,32296,147700,867,08,101,001600,0.08,0.11
980,4019,36276,332200,1077,08,031,005102,0.04,0.09
981,4267,30660,220200,1114,08,031,006813,0.06,0.16
982,6000,33943,224500,1387,08,041,004502,0.07,0.05
983,6008,34059,207100,1355,08,041,004703,0.05,0.02
984,9055,36749,287500,1805,08,041,005104,0.09,0.06
985,6167,25697,237900,728,08,041,005700,0.12,0.1
986,7035,26108,160300,1188,08,041,006502,0.05,0.15
987,8843,55500,470100,1578,08,041,007400,0.06,0.02
988,5833,36419,291800,1003,08,041,007700,0.02,0.08
989,4230,28083,215200,905,08,041,008000,0.06,0.13
990,5131,24014,229400,852,08,041,001302,0.08,0.16
991,4666,23952,152200,899,08,041,002102,0.12,0.19
992,5755,22347,124900,811,08,041,002900,0.06,0.4
993,4321,46143,571400,1838,08,041,003100,0.05,0.06
994,3600,34103,253400,1101,08,041,003905,0.04,0.12
995,7048,31452,217400,790,08,041,003909,0.07,0.07
996,4997,32059,155900,1194,08,041,004100,0.11,0.13
997,4998,25152,173800,1037,08,041,004506,0.12,0.1
998,4544,20699,145800,757,08,041,005201,0.17,0.32
999,4780,21086,153200,792,08,041,005300,0.13,0.27
1000,4700,32451,231800,1101,08,041,005501,0.13,0.1
1001,5718,35432,312800,891,08,041,006700,0.02,0.09
1002,8634,47314,516700,2078,08,041,007500,0.03,0.01
1003,10403,51841,434000,1723,08,041,007300,0.04,0.06
1004,5496,28953,236000,988,08,041,002400,0.05,0.12
1005,4060,50203,374800,1399,08,041,007000,0.04,0.03
1006,3211,25134,146000,860,08,041,000301,0.07,0.17
1007,2143,23951,193300,775,08,041,001301,0.05,0.2
1008,3505,54041,621200,1734,08,031,003300,0.02,0.05
1009,5485,51171,435200,1324,08,031,004103,0.02,0.04
1010,4651,38333,328900,908,08,031,004301,0.05,0.14
1011,7408,30228,294000,988,08,031,005002,0.09,0.2
1012,1371,31627,324000,1302,08,031,005300,0.05,0.05
1013,5819,23842,362900,963,08,031,006901,0.07,0.17
1014,3799,45233,227600,1367,08,031,007013,0.01,0.07
1015,4652,27926,162300,1439,08,031,008305,0.08,0.19
1016,4347,43420,394500,916,08,031,002802,0.06,0.13
1017,4866,37250,287800,1217,08,031,004104,0.03,0.11
1018,2776,47367,416200,1687,08,031,006804,0.03,0.05
1019,4351,20496,376900,746,08,031,000701,0.1,0.23
1020,3428,29888,409400,892,08,031,003102,0.04,0.27
1021,4253,27090,238800,965,08,031,003602,0.02,0.25
1022,3384,49196,484800,1492,08,031,006701,0.03,0.11
1023,3428,35944,385700,989,08,031,000401,0.03,0.15
