,population,income,house_value,rent,tract,unemployment,poverty
0,2061,19318,140300,707,08023972600,0.1,0.25
1,1684,17833,105200,347,08023972700,0.09,0.31
2,3346,21429,347000,877,08031001901,0.18,0.42
3,778,6235,500000,-666666666,08031001902,0.04,0.0
4,13570,76860,603200,2052,08031004106,0.04,0.03
5,13352,63288,573600,1683,08031004107,0.01,0.04
6,4638,23347,202500,1130,08031004504,0.04,0.26
7,4884,24974,205800,1121,08031004505,0.01,0.25
8,3795,20313,235800,996,08031004506,0.02,0.35
9,5449,25443,253900,1482,08031008386,0.04,0.14
10,7596,30736,252300,1462,08031008387,0.04,0.17
11,10738,32865,278900,1552,08031008388,0.03,0.07
12,11639,41749,329700,2149,08031008389,0.04,0.06
13,9739,35201,282700,1620,08031008390,0.04,0.16
14,7195,33710,222200,1425,08041004511,0.08,0.1
15,4232,33046,246200,1105,08041004601,0.05,0.07
16,4629,27286,223400,909,08041004602,0.05,0.09
17,7754,42851,266500,1629,08041004603,0.04,0.07
18,8979,38531,268200,1620,08041004705,0.05,0.06
19,5512,46353,296400,1751,08041004706,0.05,0.05
20,7599,33427,261600,1463,08041005105,0.09,0.05
21,10848,45718,273300,1690,08041005106,0.04,0.03
22,9048,46997,306700,1749,08041005107,0.03,0.05
23,9219,41529,244700,1517,08041005108,0.04,0.03
24,8027,38118,264100,1716,08041005109,0.06,0.09
25,4230,34478,193300,1164,08041005110,0.08,0.09
26,8507,39577,240700,1347,08041005111,0.08,0.08
27,5196,28727,194700,1460,08041006301,0.06,0.12
28,6035,25893,224800,1074,08041006302,0.04,0.24
29,4304,37969,244300,1195,08041006801,0.03,0.14
30,4054,38242,271700,1747,08041006802,0.06,0.07
31,5109,46436,311900,1837,08041006901,0.05,0.05
32,5239,43336,286800,1504,08041006902,0.06,0.06
33,10685,57158,449700,1789,08041007101,0.06,0.04
34,10097,50018,406900,2210,08041007102,0.04,0.01
35,10751,51925,482800,1634,08041007201,0.06,0.08
36,9588,52681,385700,1419,08041007202,0.04,0.03
37,9405,47440,356000,1456,08041007601,0.06,0.02
38,3524,49583,510200,2620,08041007602,0.06,0.04
39,308,-666666666,-666666666,-666666666,08043980100,,0.0
40,5797,43699,458700,1599,08035014505,0.02,0.06
41,5410,62209,575600,2406,08035014506,0.01,0.02
42,6892,44578,325100,1853,08035014603,0.01,0.01
43,4245,53696,426100,2096,08035014604,0.03,0.04
44,6964,42467,625600,1909,08037000301,0.02,0.08
45,2253,41016,716400,1483,08037000302,0.01,0.17
46,4387,31335,496400,1549,08037000401,0.05,0.11
