,population,income,house_value,rent,tract,unemployment,poverty
0,4548,41433,310000,969,08031002803,0.06,0.12
1,2082,30744,240200,1147,08031005502,0.03,0.11
2,4564,32252,168900,1245,08031007088,0.01,0.15
3,5054,21632,99500,778,08031007089,0.04,0.13
4,2913,27802,142000,579,08095967600,0.04,0.18
5,1458,20136,109800,613,08095967700,0.07,0.09
6,4272,37851,530200,1370,08097000401,0.11,0.07
7,2963,,1023700,1135,08097000402,0.07,0.09
8,2202,41778,484600,1456,08097000500,0.04,0.04
9,2034,20726,98900,492,08099000700,0.11,0.23
10,2813,,215700,1313,08101002911,0.08,0.07
11,2022,25161,155400,868,08101002912,0.08,0.16
12,3491,,198300,1172,08101002913,0.06,0.02
13,3424,26147,141000,1091,08101002914,0.1,0.1
14,2460,26871,160700,890,08101002915,0.12,0.1
15,2954,21565,96100,803,08101002916,0.06,0.14
16,2874,24462,176300,949,08101002917,0.13,0.09
17,6244,33866,181000,1398,08101002918,0.06,0.04
18,3316,,196000,1146,08101003105,0.08,0.03
19,1200,25375,164200,1021,08101003106,0.18,0.09
20,2123,,133800,415,08101003500,0.21,0.37
21,4434,29118,210400,876,08123001800,0.05,0.17
22,3937,16370,93800,488,08021974800,0.12,0.25
23,5961,,131700,779,08001007900,0.12,0.33
24,4240,,254200,980,08001008401,0.08,0.08
25,7815,,241000,1635,08001008524,0.07,0.02
26,2668,,135900,594,08043978800,0.1,0.22
27,2417,,164400,652,08043978400,0.12,0.16
28,3164,22339,167400,694,08043979100,0.09,0.18
29,1931,,296500,696,08043979200,0.09,0.04
30,3744,22015,179000,810,08043978100,0.1,0.16
31,3204,,143000,1119,08043979400,0.09,0.06
32,3341,25210,194700,741,08043979000,0.06,0.08
33,2109,15000,64500,699,08101001200,0.3,0.43
34,1496,18566,78900,700,08101002200,0.15,0.27
35,3040,21390,87600,840,08101002500,0.17,0.2
36,3751,15605,88800,546,08101002600,0.13,0.39
37,2647,,124100,841,08101000100,0.1,0.17
38,1180,12827,74500,551,08101001400,0.06,0.35
39,1849,31179,134500,721,08101001600,0.09,0.09
40,3342,18242,95100,735,08101002300,0.08,0.22
41,2767,,105400,600,08121924200,0.05,0.08
42,7163,,110800,906,08123000703,0.11,0.28
43,739,31375,172800,1322,08123000704,0.07,0.09
44,1384,24432,241800,739,08123000705,0.02,0.14
45,2019,31791,612500,1396,08113968101,0.05,0.1
46,1891,27331,1072000,909,08113968102,0.11,0.12
47,2365,,86800,543,08115968300,0.06,0.14
48,3339,16842,99600,560,08123000501,0.09,0.38
49,3208,18030,94900,663,08123000502,0.2,0.32
50,5263,17558,,628,08123001003,0.15,0.43
51,4889,19162,100200,764,08123001004,0.09,0.34
52,7097,24596,151200,1163,08123001005,0.06,0.14
53,4906,,129900,990,08123001006,0.08,0.16
54,4190,33067,180400,1221,08123001405,0.06,0.04
55,5572,,219800,1139,08123001406,0.07,0.1
56,2067,,277100,,08123001407,0.01,0.01
57,2298,30091,275200,1103,08123001408,0.08,0.1
58,3162,,193400,937,08123001409,0.03,0.16
59,3491,31729,224000,1083,08123001410,0.06,0.07
60,2502,,250300,909,08123001411,0.04,0.04
61,2273,37839,259000,1132,08123001412,0.05,0.09
62,5034,21948,174700,882,08013013505,0.1,0.31
63,4265,31667,301500,1410,08013013506,0.04,0.11
64,3251,31923,213000,1227,08013013507,0.09,0.06
65,7317,39037,287300,1336,08013013508,0.12,0.02
66,5560,45796,389200,1424,08013060600,0.04,0.07
67,3129,49538,457100,1422,08013060700,0.06,0.04
68,6862,,162200,1092,08013060800,0.07,0.16
69,4559,38441,250500,1294,08013060900,0.07,0.07
70,3615,,499800,1807,08013061300,0.05,0.01
71,3752,62095,441100,1901,08013061400,0.02,0.02
72,3466,29361,220900,850,08014030000,0.06,0.1
73,2337,,238300,861,08014030100,0.08,0.08
74,1814,38825,190900,1566,08014030200,0.14,0.06
75,3574,25615,294700,835,08014030300,0.05,0.14
76,3709,50030,362400,1478,08014030400,0.04,0.02
77,5693,51164,424500,1896,08014030500,0.04,0.05
78,6130,35658,203100,1632,08014030600,0.04,0.05
