,population,income,house_value,rent,tract,unemployment,poverty
117,5094,43885,510600,1644,08005005611,0.03,0.08
118,3510,41489,1050800,1347,08005005612,0.01,0.05
119,3170,44194,457100,2201,08005005614,0.04,0.04
120,5189,42188,462900,1476,08005005619,0.03,0.03
121,2802,44205,313900,1722,08005005620,0.05,0.09
122,2589,68702,685700,2145,08005005621,0.05,0.02
123,2905,65586,1077100,1702,08005005622,0.02,0.02
124,3723,55465,575300,2090,08005005623,0.07,0.03
125,2194,55556,516800,2000,08005005624,0.02,0.04
126,4117,54877,454400,1818,08005005625,0.02,0.09
127,3625,41467,434000,1746,08005005626,0.07,0.05
128,4610,50934,530200,2125,08005005627,0.03,0.06
129,5798,52298,432100,1673,08005005628,0.08,0.01
130,2617,69167,803700,3501,08005005629,0.03,0.06
131,5098,47429,519500,1737,08005005630,0.01,0.02
132,3232,51574,483600,1838,08005005631,0.06,0.02
133,2944,64984,482900,2432,08005005632,0.05,0.02
134,3909,61866,530400,1776,08005005633,0.02,0.01
135,2865,44279,383500,1484,08005005634,0.08,0.05
136,4665,60717,487300,2296,08005005635,0.02,0.02
137,1825,94063,1749100,-666666666,08005005636,0.03,0.02
138,1825,37469,447000,1160,08005005701,0.07,0.08
139,2589,38434,436400,1620,08005005702,0.02,0.08
140,2627,73942,546800,1941,08005005800,0.05,0.06
141,4234,38955,376700,968,08005005951,0.02,0.1
142,3903,47997,591100,1833,08005005952,0.01,0.08
143,2466,48528,348900,1112,08005006000,0.04,0.06
144,3364,41077,381300,1177,08005006100,0.06,0.19
145,3518,49121,386400,1481,08005006200,0.06,0.1
146,2627,48774,413000,1354,08005006300,0.05,0.05
147,2984,38204,426600,1180,08005006400,0.04,0.07
148,2268,39245,638000,1405,08005006501,0.05,0.18
149,3174,40154,435000,1404,08005006502,0.03,0.13
150,5614,33631,375200,1180,08005006601,0.05,0.16
151,2672,36990,453100,390,08005006603,0.03,0.1
152,4356,33750,479700,1112,08005006604,0.02,0.06
153,4491,85449,1831300,-666666666,08005006704,0.02,0.03
154,1935,131250,2000001,-666666666,08005006705,0.04,0.05
155,5779,61184,569300,1727,08005006706,0.04,0.03
156,4761,59657,438500,2036,08005006707,0.03,0.03
157,5019,53728,570700,1721,08005006708,0.07,0.03
158,5255,73202,500200,2155,08005006709,0.02,0.04
159,4211,65608,608500,1828,08005006711,0.04,0.02
160,1258,85694,1110000,3501,08005006712,0.03,0.03
161,1675,58211,-666666666,1745,08005006713,0.03,0.01
162,5444,65718,838700,2932,08005006808,0.02,0.01
163,4672,54527,628100,1659,08005006815,0.03,0.07
164,3029,47784,591700,1650,08005006854,0.03,0.07
165,2232,76544,1017500,1583,08005006857,0.08,0.01
