,population,income,house_value,rent,tract,unemployment,poverty
0,2871,33101,214700,925,08101003004,0.08,0.06
1,1865,25523,131900,740,08101003103,0.06,0.21
2,2071,14446,79100,644,08101000600,0.2,0.36
3,2184,25597,117400,678,08101001500,0.05,0.25
4,3087,18881,76200,801,08101002000,0.13,0.36
5,4362,26920,159300,913,08101002807,0.09,0.12
6,1958,18125,79300,823,08101000200,0.1,0.24
7,6040,22438,126300,674,08101000902,0.14,0.24
8,1347,20487,105100,619,08101001900,0.07,0.23
9,2238,28472,169900,1068,08101003104,0.07,0.12
10,2384,14021,63500,850,08101001100,0.16,0.54
11,6481,33695,167700,1031,08101002903,0.09,0.19
12,3470,26263,167100,727,08101003200,0.08,0.2
13,4469,23353,141700,676,08101001700,0.06,0.13
14,2232,18984,166100,661,08101000905,0.09,0.23
15,4213,31209,225800,1194,08059012047,0.06,0.05
16,3982,47798,355800,1750,08059012049,0.03,0.02
17,3905,50379,485400,1470,08059012050,0.04,0.06
18,5349,38210,250900,1619,08059012052,0.04,0.04
19,4047,40391,388100,1292,08059012054,0.04,0.03
20,5764,40914,315200,1397,08059012043,0.04,0.04
21,4024,50633,371100,1197,08059012058,0.03,0.02
22,3054,47955,399700,891,08059010504,0.06,0.01
23,5718,14321,448300,1061,08059010000,0.04,0.16
24,3450,30216,294100,787,08059010211,0.1,0.12
25,4352,41752,291900,1110,08059011712,0.06,0.05
26,5348,49667,418800,1889,08059011724,0.05,0.03
27,3250,44901,401100,1169,08059012027,0.05,0.05
28,2601,39904,444600,1950,08059012032,0.07,0.07
29,2776,52582,393900,1263,08059012033,0.05,0.02
30,2704,30471,226700,1280,08059009832,0.07,0.06
31,6023,34201,248400,1256,08059009833,0.08,0.08
32,3990,36628,273800,1889,08059009840,0.04,0.02
33,2528,23787,233900,839,08059010902,0.06,0.14
34,5365,33858,280300,1183,08059010303,0.02,0.05
35,5798,38259,257500,1387,08059010308,0.02,0.08
36,4207,32141,276600,799,08059010701,0.03,0.06
37,2727,42844,355600,1188,08059011721,0.03,0.06
38,5829,46301,359500,1249,08059012022,0.05,0.05
39,4182,41439,400500,1220,08059012031,0.07,0.08
40,5675,39755,240300,1383,08059012039,0.02,0.03
41,3805,45671,328100,1428,08059012044,0.03,0.04
42,4135,36005,276400,1508,08059012053,0.06,0.08
43,5716,45712,273200,1307,08059012057,0.03,0.02
44,5507,40639,270300,1766,08059009828,0.07,0.04
45,5639,23496,-666666666,1933,08041004402,0.05,0.0
46,1252,28870,-666666666,1471,08041004403,0.05,0.03
47,8697,37892,225600,1459,08041004510,0.08,0.05
48,1387,33162,487500,1155,08037000600,0.02,0.09
49,1552,23481,231900,793,08037000100,0.09,0.16
50,5085,32918,181700,837,08065961700,0.04,0.09
51,4010,30813,391700,959,08067970900,0.04,0.09
52,9178,36355,284400,1247,08067970600,0.04,0.06
53,6182,28761,234400,947,08067940300,0.06,0.1
54,7039,24713,392700,1162,08067970800,0.05,0.09
55,3099,32559,395200,1168,08067971000,0.03,0.08
56,4607,21455,378500,1100,08067971100,0.08,0.26
57,4957,33383,369300,1582,08067970701,0.04,0.08
58,2887,36497,244000,1235,08081000300,0.02,0.06
59,4348,21481,169900,599,08081000400,0.06,0.18
60,4337,27199,143200,738,08081000500,0.03,0.08
61,7631,32179,546400,1181,08097000100,0.04,0.1
62,2046,15573,82900,585,08105976800,0.12,0.3
63,4987,19005,112900,571,08105976700,0.1,0.2
64,4004,19194,171800,740,08123000402,0.12,0.18
65,4257,28275,174100,789,08123001100,0.03,0.13
66,2325,12131,76500,651,08123000100,0.08,0.42
67,1464,21725,83700,740,08123000701,0.2,0.25
68,3822,40247,253200,1288,08093000200,0.01,0.01
69,2377,24627,214400,975,08093000500,0.06,0.11
70,5926,33839,255300,1104,08093000100,0.06,0.04
71,3368,19841,173100,731,08109977600,0.12,0.22
72,2887,17956,85800,506,08109977700,0.03,0.23
73,5880,31871,289900,1307,08077001402,0.06,0.04
74,2375,19074,230600,604,08077000200,0.06,0.29
75,4804,32102,187900,1168,08077001102,0.07,0.12
76,2277,33979,367100,1198,08077001200,0.06,0.06
77,5732,22396,120100,763,08077001705,0.1,0.24
78,3176,26156,254100,908,08077001800,0.07,0.17
79,8787,28520,154200,1197,08077000800,0.11,0.16
80,6710,26549,262400,1092,08077001002,0.08,0.11
81,4565,34435,206100,1110,08059009834,0.07,0.04
82,5903,31789,231200,1372,08059010208,0.11,0.1
83,6558,30091,217600,1179,08059010209,0.07,0.08
84,2568,23795,136600,884,08059010406,0.03,0.16
85,5406,35075,307700,889,08059010502,0.07,0.09
86,6306,21813,237900,871,08059011550,0.09,0.25
87,4269,22111,234000,818,08059011601,0.1,0.29
88,6213,42592,371600,1353,08059011726,0.06,0.04
89,3614,36427,312800,1661,08059011727,0.04,0.03
90,3763,42708,296100,1911,08059009835,0.08,0.05
91,5584,41049,406600,1059,08059009808,0.04,0.08
92,5100,39127,251700,1585,08059009824,0.06,0.04
93,2414,26296,-666666666,1190,08059009831,0.02,0.12
94,4389,33604,195500,1276,08035013904,0.05,0.11
95,4775,47489,283700,1244,08035013907,0.03,0.08
96,4281,50463,329300,1638,08035014112,0.07,0.02
97,4246,50119,444000,1373,08035014115,0.04,0.07
98,5628,42317,813000,1378,08035014116,0.04,0.08
99,7510,45033,391500,1367,08035013901,0.01,0.04
100,6699,41657,477100,1555,08035013909,0.03,0.03
101,5380,38498,334500,1126,08035014503,0.03,0.03
102,3146,34266,708700,1198,08035014123,0.06,0.12
103,1956,44697,482400,1236,08035014202,0.03,0.08
104,722,32609,281300,911,08035014300,0.06,0.04
105,7052,51137,391200,-666666666,08035013908,0.04,0.02
