,2014_med,2015_med,2016_med,2017_med,2018_med,2019_med,2020_med,2021_med,2014_rec,2015_rec,2016_rec,2017_rec,2018_rec,2019_rec,2020_rec,2021_rec,total
966702,,,,,,,,,,,,,,4.0,18.0,35.0,
966100,,,,,,,,,,,,,,13.0,37.0,61.0,
60700,,,,,,,,,,,,,,10.0,11.0,21.0,
10801,,,,,,,0.0,12.0,,,,,,,0.0,12.0,24.0
902,,,,,,,7.0,9.0,,,,,,,7.0,9.0,18.0
13005,,,,,,,,,,,,,,,10.0,17.0,
964600,,,,,,,,2.0,,,,,,,,8.0,10.0
6818,,,,,,,,8.0,,,,,,,,8.0,16.0
2405,,,,,,,,10.0,,,,,,,,10.0,20.0
968200,,,,,,,,,,,,,,,,7.0,
940400,,,,,,,,,,,,,,,,8.0,
1700,,,,,,,,,,,,,,,,7.0,
969601,,,,,,,,,,,,,,,,6.0,
965201,,,,,,,,,,,,,,,,4.0,
12904,,,,,,,,,,,,,,,,4.0,
13205,,,,,,,,,,,,,,,,11.0,
