,2014_med,2015_med,2016_med,2017_med,2018_med,2019_med,2020_med,2021_med,2014_rec,2015_rec,2016_rec,2017_rec,2018_rec,2019_rec,2020_rec,2021_rec,total
3002,0.0,14.0,41.0,89.0,133.0,164.0,176.0,196.0,0.0,14.0,41.0,89.0,133.0,175.0,214.0,270.0,466.0
961702,9.0,21.0,33.0,36.0,,,,,9.0,47.0,87.0,114.0,142.0,173.0,209.0,241.0,277.0
13201,4.0,16.0,40.0,64.0,78.0,90.0,102.0,114.0,4.0,16.0,43.0,79.0,129.0,165.0,178.0,190.0,304.0
966503,0.0,12.0,24.0,25.0,33.0,44.0,44.0,56.0,,,,,,,,,
12015,0.0,13.0,37.0,61.0,85.0,109.0,133.0,157.0,0.0,13.0,37.0,61.0,85.0,109.0,133.0,157.0,314.0
3502,0.0,12.0,36.0,60.0,84.0,108.0,120.0,129.0,0.0,12.0,24.0,36.0,52.0,76.0,91.0,117.0,246.0
1702,0.0,4.0,7.0,19.0,31.0,43.0,55.0,63.0,,,,3.0,31.0,55.0,79.0,99.0,162.0
2704,8.0,20.0,32.0,44.0,56.0,68.0,80.0,92.0,8.0,20.0,32.0,44.0,56.0,69.0,93.0,111.0,203.0
60900,0.0,12.0,24.0,39.0,63.0,87.0,111.0,130.0,0.0,12.0,24.0,40.0,76.0,112.0,148.0,177.0,307.0
5200,0.0,16.0,43.0,71.0,105.0,127.0,156.0,192.0,0.0,16.0,43.0,68.0,92.0,114.0,143.0,179.0,371.0
12107,0.0,,,,,,,,,,,,,9.0,21.0,28.0,28.0
500,0.0,24.0,60.0,93.0,117.0,141.0,175.0,214.0,0.0,12.0,36.0,60.0,84.0,120.0,171.0,227.0,441.0
11806,5.0,29.0,50.0,55.0,59.0,71.0,83.0,85.0,,,,,4.0,16.0,28.0,30.0,115.0
6702,0.0,36.0,84.0,129.0,165.0,197.0,221.0,245.0,0.0,12.0,36.0,60.0,84.0,108.0,132.0,156.0,401.0
3708,0.0,8.0,11.0,23.0,35.0,56.0,90.0,113.0,,,,,,,,,
8533,0.0,0.0,12.0,24.0,36.0,48.0,60.0,72.0,0.0,0.0,12.0,24.0,36.0,48.0,60.0,72.0,144.0
700,0.0,24.0,60.0,96.0,121.0,145.0,169.0,185.0,0.0,12.0,24.0,36.0,48.0,60.0,75.0,91.0,276.0
2912,8.0,32.0,56.0,73.0,89.0,113.0,125.0,148.0,8.0,20.0,32.0,44.0,56.0,68.0,,79.0,227.0
4102,0.0,14.0,40.0,82.0,129.0,175.0,218.0,272.0,0.0,14.0,40.0,85.0,132.0,178.0,221.0,275.0,547.0
4506,0.0,0.0,12.0,24.0,36.0,43.0,47.0,59.0,0.0,0.0,12.0,24.0,36.0,43.0,47.0,59.0,118.0
2404,0.0,12.0,24.0,36.0,48.0,60.0,72.0,84.0,0.0,12.0,24.0,36.0,48.0,60.0,72.0,84.0,168.0
4309,0.0,4.0,16.0,28.0,48.0,70.0,88.0,112.0,,0.0,12.0,24.0,44.0,66.0,84.0,108.0,220.0
8506,0.0,28.0,52.0,76.0,100.0,124.0,139.0,150.0,0.0,24.0,51.0,84.0,108.0,144.0,171.0,196.0,346.0
1102,0.0,12.0,24.0,36.0,48.0,60.0,72.0,78.0,0.0,12.0,24.0,36.0,48.0,60.0,72.0,88.0,166.0
951702,0.0,24.0,48.0,72.0,96.0,120.0,145.0,167.0,0.0,24.0,48.0,75.0,99.0,123.0,151.0,191.0,358.0
6000,0.0,36.0,105.0,165.0,219.0,267.0,321.0,362.0,,,,,,,,,
3402,0.0,12.0,24.0,36.0,41.0,,,,,,,,,,8.0,,49.0
4503,8.0,32.0,53.0,65.0,77.0,87.0,88.0,99.0,8.0,32.0,53.0,65.0,77.0,87.0,88.0,99.0,198.0
4952,13.0,41.0,74.0,103.0,127.0,151.0,178.0,210.0,13.0,37.0,79.0,135.0,195.0,255.0,315.0,358.0,568.0
12501,10.0,22.0,34.0,46.0,58.0,70.0,82.0,94.0,10.0,22.0,34.0,46.0,58.0,70.0,82.0,95.0,189.0
1101,0.0,12.0,38.0,74.0,110.0,134.0,157.0,186.0,,,,,,,,,
952004,0.0,4.0,,,8.0,20.0,32.0,43.0,,,,,,,,,
4110,4.0,28.0,70.0,120.0,160.0,213.0,243.0,279.0,4.0,28.0,67.0,108.0,148.0,201.0,231.0,267.0,546.0
1306,0.0,12.0,24.0,36.0,48.0,60.0,72.0,83.0,0.0,12.0,24.0,36.0,48.0,60.0,72.0,83.0,166.0
979100,0.0,12.0,24.0,36.0,48.0,60.0,72.0,82.0,,,,,,,,,
12206,17.0,53.0,89.0,125.0,154.0,178.0,202.0,226.0,17.0,53.0,89.0,125.0,154.0,178.0,205.0,239.0,465.0
5553,0.0,4.0,19.0,43.0,65.0,77.0,89.0,101.0,,0.0,15.0,42.0,64.0,88.0,112.0,138.0,239.0
903,13.0,61.0,109.0,150.0,186.0,222.0,252.0,,5.0,53.0,101.0,142.0,178.0,214.0,244.0,249.0,501.0
3006,0.0,36.0,84.0,131.0,175.0,219.0,258.0,302.0,0.0,36.0,84.0,131.0,175.0,219.0,255.0,291.0,593.0
11803,0.0,12.0,21.0,,21.0,33.0,45.0,52.0,,,,,,,,,
87302,0.0,12.0,24.0,36.0,48.0,53.0,56.0,67.0,,,,,,,0.0,12.0,79.0
11720,0.0,12.0,24.0,36.0,48.0,60.0,61.0,71.0,,,,,,,,,
8312,0.0,,,,,,3.0,15.0,,,,,,,3.0,15.0,30.0
974400,0.0,12.0,24.0,36.0,48.0,60.0,61.0,,0.0,12.0,33.0,69.0,105.0,153.0,190.0,235.0,296.0
5551,0.0,24.0,48.0,61.0,73.0,85.0,97.0,109.0,,,,,12.0,32.0,56.0,75.0,184.0
11101,0.0,0.0,12.0,24.0,36.0,48.0,60.0,72.0,,,,,,,,,
86900,0.0,12.0,24.0,36.0,48.0,60.0,72.0,76.0,0.0,12.0,24.0,36.0,48.0,60.0,72.0,76.0,152.0
6812,11.0,35.0,59.0,83.0,107.0,131.0,155.0,178.0,11.0,35.0,59.0,83.0,107.0,131.0,155.0,178.0,356.0
952003,0.0,40.0,75.0,108.0,144.0,180.0,216.0,252.0,0.0,12.0,24.0,39.0,63.0,87.0,111.0,135.0,387.0
1704,0.0,24.0,48.0,69.0,81.0,106.0,142.0,178.0,0.0,24.0,48.0,69.0,81.0,106.0,142.0,181.0,359.0
12705,0.0,0.0,12.0,24.0,36.0,48.0,60.0,72.0,,0.0,12.0,24.0,36.0,48.0,60.0,72.0,144.0
