,population,income,house_value,rent,tract,unemployment,poverty,tract_str,tract_str_last6,2014_med,2015_med,2016_med,2017_med,2018_med,2019_med,2020_med,2021_med,2014_rec,2015_rec,2016_rec,2017_rec,2018_rec,2019_rec,2020_rec,2021_rec,total
36,5912,60088,377500,1797,8556,0.02,0.03,8001008556,008556,,,,,,,,,,,,,,,,,0.0
37,925,44485,542100,-666666666,8557,0.07,0.02,8001008557,008557,,,,,,,,,,,,,,,,,0.0
38,3977,59712,401900,-666666666,8558,0.01,0.03,8001008558,008558,,,,,,,,,,,,,,,,,0.0
39,8057,44906,366000,2295,8559,0.05,0.04,8001008559,008559,,,,,,,,,,,,,,,,,0.0
40,2195,61962,734800,-666666666,8560,0.06,0.01,8001008560,008560,,,,,,,,,,,,,,,,,0.0
41,4649,51402,625100,3000,8561,0.02,0.01,8001008561,008561,,,,,,,,,,,,,,,,,0.0
42,5312,49615,432300,2450,8562,0.06,0.11,8001008562,008562,,,,,,,,,,,,,,,,,0.0
43,4414,44930,374600,2067,8563,0.02,0.03,8001008563,008563,,,,,,,,,,,,,,,,,0.0
44,1400,37554,458500,1614,8564,0.06,0.04,8001008564,008564,,,,,,,,,,,,,,,,,0.0
45,7493,37971,354900,1459,8565,0.02,0.04,8001008565,008565,,,,,,,,,,,,,,,,,0.0
46,1991,28864,280700,1121,8603,0.03,0.28,8001008603,008603,,,,,,,,,,,,,,,,,0.0
47,5472,31610,312800,1666,8604,0.02,0.05,8001008604,008604,,,,,,,,,,,,,,,,,0.0
48,3998,45516,333200,1307,8605,0.07,0.08,8001008605,008605,,,,,,,,,,,,,,,,,0.0
49,6083,37715,298100,1242,8606,0.08,0.05,8001008606,008606,,,,,,,,,,,,,,,,,0.0
50,6400,27487,279900,1400,8705,0.07,0.24,8001008705,008705,,,,,,,,,,,,,,2.0,5.0,17.0,0.0
51,5882,25296,269500,1114,8706,0.04,0.15,8001008706,008706,,,,,,,,,,,,,,,,,0.0
52,7696,29801,285600,1166,8709,0.04,0.19,8001008709,008709,,,,3.0,11.0,42.0,72.0,101.0,,,6.0,36.0,80.0,147.0,197.0,265.0,366.0
53,5416,29335,276900,1631,8801,0.04,0.19,8001008801,008801,,,,,,,,,,,,,,,,,0.0
54,4863,35174,195100,1210,8802,0.06,0.16,8001008802,008802,,,,,,,,,,,,,,,,,0.0
55,2732,27126,277400,1367,8901,0.06,0.09,8001008901,008901,,,,,8.0,20.0,32.0,39.0,,,,,8.0,20.0,32.0,39.0,78.0
56,4806,27434,289300,1500,9001,0.08,0.18,8001009001,009001,,,,,,,,,,,,,,,,,0.0
57,4584,38817,310000,1443,9003,0.07,0.07,8001009003,009003,,,,,,,,,,,,,,,,,0.0
58,5093,43674,238100,1396,9004,0.01,0.12,8001009004,009004,,,,,,,,,,,,,,,,,0.0
59,4506,39893,319100,1627,9101,0.01,0.02,8001009101,009101,,,,,,,,,,,,,,,,,0.0
60,4485,26029,53700,1348,9103,0.04,0.15,8001009103,009103,,,,,,,,,,,,,,,,,0.0
61,6441,36805,307000,1626,9104,0.02,0.12,8001009104,009104,,,,,,,,,,,,,,,,,0.0
62,4557,35344,292400,1508,9202,0.05,0.13,8001009202,009202,,,,,,,,,,,,,,,,,0.0
63,5614,31250,324500,1469,9203,0.04,0.16,8001009203,009203,,,,,,,,,,,,,,,,,0.0
64,6928,35662,377000,1689,9204,0.03,0.12,8001009204,009204,,,,,,,,,,,,,,,,,0.0
65,2587,46972,298400,1726,9206,0.05,0.03,8001009206,009206,,,,,,,,,,,,,,,,,0.0
66,4782,34270,338000,1445,9207,0.06,0.06,8001009207,009207,,,,,,,,,,,,,,,,,0.0
67,5590,36888,332400,1347,9304,0.03,0.06,8001009304,009304,,,,,,,,,,0.0,12.0,24.0,34.0,35.0,47.0,59.0,0.0
68,3620,34806,331400,2022,9306,0.0,0.12,8001009306,009306,,,,,,,,,,,,,,,,,0.0
69,3461,32686,321600,1401,9307,0.04,0.04,8001009307,009307,,,,,,,,,,,,3.0,15.0,27.0,38.0,38.0,0.0
70,4706,31716,311900,1380,9308,0.07,0.06,8001009308,009308,,,,,,,,,,0.0,12.0,24.0,36.0,48.0,60.0,66.0,0.0
71,4421,32109,322300,1122,9309,0.08,0.09,8001009309,009309,,,,,,,,,,,,,,,,,0.0
72,7097,31238,337000,1621,9310,0.05,0.1,8001009310,009310,,,,,,,,,,,,,,,,,0.0
