,tract,year,rec,med,dispensary_status,match_id
122,8001009101,2016,0.0,0.0,0.0,117.0
123,8001009101,2017,0.0,0.0,0.0,117.0
124,8001009101,2018,0.0,0.0,0.0,117.0
125,8001009101,2019,0.0,0.0,0.0,117.0
126,8001009101,2020,0.0,0.0,0.0,117.0
127,8001009101,2021,0.0,0.0,0.0,117.0
128,8001009202,2014,0.0,0.0,0.0,75.0
129,8001009202,2015,0.0,0.0,0.0,75.0
130,8001009202,2016,0.0,0.0,0.0,75.0
131,8001009202,2017,0.0,0.0,0.0,75.0
132,8001009202,2018,0.0,0.0,0.0,75.0
133,8001009202,2019,0.0,0.0,0.0,75.0
134,8001009202,2020,0.0,0.0,0.0,75.0
135,8001009202,2021,0.0,0.0,0.0,75.0
136,8001009204,2014,0.0,0.0,0.0,58.0
137,8001009204,2015,0.0,0.0,0.0,58.0
138,8001009204,2016,0.0,0.0,0.0,58.0
139,8001009204,2017,0.0,0.0,0.0,58.0
140,8001009204,2018,0.0,0.0,0.0,58.0
141,8001009204,2019,0.0,0.0,0.0,58.0
142,8001009204,2020,0.0,0.0,0.0,58.0
143,8001009204,2021,0.0,0.0,0.0,58.0
144,8001009306,2014,0.0,0.0,0.0,66.0
145,8001009306,2015,0.0,0.0,0.0,66.0
146,8001009306,2016,0.0,0.0,0.0,66.0
147,8001009306,2017,0.0,0.0,0.0,66.0
148,8001009306,2018,0.0,0.0,0.0,66.0
149,8001009306,2019,0.0,0.0,0.0,66.0
150,8001009306,2020,0.0,0.0,0.0,66.0
151,8001009306,2021,0.0,0.0,0.0,66.0
152,8001009306,2014,0.0,0.0,0.0,159.0
153,8001009306,2015,0.0,0.0,0.0,159.0
154,8001009306,2016,0.0,0.0,0.0,159.0
155,8001009306,2017,0.0,0.0,0.0,159.0
156,8001009306,2018,0.0,0.0,0.0,159.0
157,8001009306,2019,0.0,0.0,0.0,159.0
158,8001009306,2020,0.0,0.0,0.0,159.0
159,8001009306,2021,0.0,0.0,0.0,159.0
160,8001009316,2014,0.0,0.0,1.0,5.0
161,8001009316,2015,0.0,0.0,1.0,5.0
162,8001009316,2016,3.0,6.0,1.0,5.0
163,8001009316,2017,18.0,33.0,1.0,5.0
164,8001009316,2018,23.0,50.0,1.0,5.0
165,8001009316,2019,41.0,63.0,1.0,5.0
166,8001009316,2020,65.0,75.0,1.0,5.0
167,8001009316,2021,80.0,83.0,1.0,5.0
168,8001009319,2014,0.0,0.0,0.0,222.0
169,8001009319,2015,0.0,0.0,0.0,222.0
170,8001009319,2016,0.0,0.0,0.0,222.0
171,8001009319,2017,1.0,0.0,0.0,222.0
172,8001009319,2018,13.0,0.0,0.0,222.0
173,8001009319,2019,25.0,0.0,0.0,222.0
174,8001009319,2020,33.0,0.0,0.0,222.0
175,8001009319,2021,36.0,0.0,0.0,222.0
176,8001009320,2014,0.0,0.0,1.0,6.0
177,8001009320,2015,0.0,0.0,1.0,6.0
178,8001009320,2016,3.0,6.0,1.0,6.0
179,8001009320,2017,15.0,18.0,1.0,6.0
180,8001009320,2018,27.0,30.0,1.0,6.0
181,8001009320,2019,39.0,42.0,1.0,6.0
182,8001009320,2020,61.0,64.0,1.0,6.0
183,8001009320,2021,78.0,81.0,1.0,6.0
184,8001009323,2014,0.0,0.0,1.0,7.0
185,8001009323,2015,1.0,1.0,1.0,7.0
186,8001009323,2016,4.0,4.0,1.0,7.0
187,8001009323,2017,16.0,16.0,1.0,7.0
188,8001009323,2018,32.0,28.0,1.0,7.0
189,8001009323,2019,54.0,40.0,1.0,7.0
190,8001009323,2020,78.0,52.0,1.0,7.0
191,8001009323,2021,110.0,72.0,1.0,7.0
192,8001009411,2014,0.0,0.0,0.0,330.0
193,8001009411,2015,0.0,0.0,0.0,330.0
194,8001009411,2016,0.0,0.0,0.0,330.0
195,8001009411,2017,0.0,0.0,0.0,330.0
196,8001009411,2018,0.0,0.0,0.0,330.0
197,8001009411,2019,0.0,0.0,0.0,330.0
198,8001009411,2020,0.0,0.0,0.0,330.0
199,8001009411,2021,0.0,0.0,0.0,330.0
200,8001009502,2014,0.0,0.0,0.0,232.0
201,8001009502,2015,0.0,0.0,0.0,232.0
202,8001009502,2016,0.0,0.0,0.0,232.0
203,8001009502,2017,0.0,0.0,0.0,232.0
204,8001009502,2018,0.0,0.0,0.0,232.0
205,8001009502,2019,0.0,0.0,0.0,232.0
206,8001009502,2020,0.0,0.0,0.0,232.0
207,8001009502,2021,0.0,0.0,0.0,232.0
208,8001009553,2014,0.0,0.0,0.0,24.0
209,8001009553,2015,0.0,0.0,0.0,24.0
