,tract,year,rec,med,dispensary_status,match_id,population,income,house_value,rent,unemployment,poverty
58,8001008533,2016,12.0,12.0,1.0,2.0,8237.0,35908.0,218400.0,1317.0,0.04,0.06
59,8001008533,2017,24.0,24.0,1.0,2.0,7978.0,36777.0,249900.0,1463.0,0.03,0.06
60,8001008533,2018,36.0,36.0,1.0,2.0,8186.0,39262.0,278800.0,1592.0,0.03,0.06
61,8001008533,2019,48.0,48.0,1.0,2.0,8035.0,37950.0,309700.0,1685.0,0.02,0.05
62,8001008533,2020,60.0,60.0,1.0,2.0,8532.0,39875.0,347500.0,1700.0,0.03,0.04
63,8001008533,2021,72.0,72.0,1.0,2.0,8142.0,41688.0,366700.0,1836.0,0.04,0.05
64,8001008535,2014,0.0,0.0,0.0,17.0,3584.0,35233.0,208400.0,1356.0,0.04,0.05
65,8001008535,2015,0.0,0.0,0.0,17.0,3553.0,34387.0,229200.0,1367.0,0.02,0.03
66,8001008535,2016,0.0,0.0,0.0,17.0,3784.0,34762.0,255300.0,1434.0,0.04,0.03
67,8001008535,2017,0.0,0.0,0.0,17.0,3832.0,35103.0,263300.0,1436.0,0.04,0.04
68,8001008535,2018,0.0,0.0,0.0,17.0,3677.0,36682.0,280400.0,1439.0,0.03,0.05
69,8001008535,2019,0.0,0.0,0.0,17.0,3883.0,38770.0,295800.0,1575.0,0.03,0.04
70,8001008535,2020,0.0,0.0,0.0,17.0,4008.0,41693.0,314000.0,1662.0,0.02,0.05
71,8001008535,2021,0.0,0.0,0.0,17.0,4626.0,42705.0,352400.0,1618.0,0.03,0.07
72,8001008548,2014,0.0,0.0,0.0,261.0,1486.0,43047.0,182600.0,1362.0,0.05,0.1
73,8001008548,2015,0.0,0.0,0.0,261.0,1488.0,43047.0,205800.0,1367.0,0.02,0.02
74,8001008548,2016,0.0,0.0,0.0,261.0,1556.0,41607.0,242400.0,1433.0,0.02,0.02
75,8001008548,2017,0.0,0.0,0.0,261.0,1544.0,41766.0,270700.0,1246.0,0.01,0.06
76,8001008548,2018,0.0,0.0,0.0,261.0,1630.0,43385.0,309400.0,1344.0,0.01,0.07
77,8001008548,2019,0.0,0.0,0.0,261.0,1639.0,44875.0,332500.0,1200.0,0.02,0.09
78,8001008548,2020,0.0,0.0,0.0,261.0,1737.0,45464.0,342800.0,1744.0,0.0,0.1
79,8001008548,2021,0.0,0.0,0.0,261.0,1729.0,48913.0,358700.0,1819.0,0.01,0.1
80,8001008555,2014,0.0,0.0,0.0,87.0,1729.0,48913.0,358700.0,1819.0,0.01,0.1
81,8001008555,2015,0.0,0.0,0.0,87.0,1729.0,48913.0,358700.0,1819.0,0.01,0.1
82,8001008555,2016,0.0,0.0,0.0,87.0,1729.0,48913.0,358700.0,1819.0,0.01,0.1
83,8001008555,2017,3.0,0.0,0.0,87.0,1729.0,48913.0,358700.0,1819.0,0.01,0.1
84,8001008555,2018,15.0,0.0,0.0,87.0,1729.0,48913.0,358700.0,1819.0,0.01,0.1
85,8001008555,2019,20.0,0.0,0.0,87.0,1729.0,48913.0,358700.0,1819.0,0.01,0.1
86,8001008555,2020,0.0,0.0,0.0,87.0,5317.0,35715.0,353800.0,1623.0,0.06,0.09
87,8001008555,2021,0.0,0.0,0.0,87.0,6145.0,35620.0,382300.0,1691.0,0.07,0.17
88,8001008603,2014,0.0,0.0,0.0,299.0,2417.0,25363.0,131100.0,942.0,0.14,0.2
89,8001008603,2015,0.0,0.0,0.0,299.0,2219.0,25363.0,118400.0,857.0,0.12,0.21
90,8001008603,2016,0.0,0.0,0.0,299.0,2089.0,22109.0,128700.0,870.0,0.09,0.24
91,8001008603,2017,0.0,0.0,0.0,299.0,1954.0,25828.0,137500.0,900.0,0.04,0.24
92,8001008603,2018,0.0,0.0,0.0,299.0,1999.0,26659.0,156300.0,1007.0,0.01,0.31
93,8001008603,2019,0.0,0.0,0.0,299.0,1937.0,25960.0,186200.0,1059.0,0.01,0.35
94,8001008603,2020,0.0,0.0,0.0,299.0,1875.0,22656.0,222800.0,1055.0,0.01,0.34
95,8001008603,2021,0.0,0.0,0.0,299.0,1991.0,28864.0,280700.0,1121.0,0.03,0.28
96,8001008706,2014,0.0,0.0,0.0,97.0,5270.0,22842.0,117600.0,910.0,0.08,0.24
97,8001008706,2015,0.0,0.0,0.0,97.0,5245.0,22940.0,129900.0,939.0,0.07,0.24
98,8001008706,2016,0.0,0.0,0.0,97.0,5140.0,22216.0,148800.0,965.0,0.07,0.25
99,8001008706,2017,0.0,0.0,0.0,97.0,5253.0,23243.0,165500.0,1043.0,0.03,0.19
100,8001008706,2018,0.0,0.0,0.0,97.0,5835.0,25189.0,189100.0,1176.0,0.02,0.19
101,8001008706,2019,0.0,0.0,0.0,97.0,6056.0,23380.0,209100.0,1189.0,0.04,0.22
102,8001008706,2020,0.0,0.0,0.0,97.0,5625.0,24635.0,245700.0,1016.0,0.04,0.15
103,8001008706,2021,0.0,0.0,0.0,97.0,5882.0,25296.0,269500.0,1114.0,0.04,0.15
104,8001008709,2014,0.0,0.0,1.0,3.0,8944.0,16676.0,122600.0,820.0,0.18,0.37
105,8001008709,2015,0.0,0.0,1.0,3.0,8642.0,16676.0,129800.0,780.0,0.2,0.42
106,8001008709,2016,6.0,0.0,1.0,3.0,7990.0,20807.0,137700.0,836.0,0.16,0.33
107,8001008709,2017,36.0,3.0,1.0,3.0,7997.0,22337.0,154400.0,939.0,0.11,0.27
108,8001008709,2018,80.0,11.0,1.0,3.0,7994.0,26945.0,164900.0,1015.0,0.09,0.21
109,8001008709,2019,147.0,42.0,1.0,3.0,7668.0,27682.0,216800.0,1023.0,0.09,0.21
110,8001008709,2020,197.0,72.0,1.0,3.0,7695.0,27675.0,272900.0,1104.0,0.06,0.15
111,8001008709,2021,265.0,101.0,1.0,3.0,7696.0,29801.0,285600.0,1166.0,0.04,0.19
112,8001008901,2014,0.0,0.0,1.0,4.0,2487.0,19738.0,118900.0,1110.0,0.13,0.2
113,8001008901,2015,0.0,0.0,1.0,4.0,2354.0,22292.0,127900.0,1094.0,0.08,0.22
114,8001008901,2016,0.0,0.0,1.0,4.0,2400.0,25029.0,135200.0,1144.0,0.08,0.25
115,8001008901,2017,0.0,0.0,1.0,4.0,2494.0,24766.0,145400.0,1226.0,0.08,0.22
116,8001008901,2018,8.0,8.0,1.0,4.0,2664.0,25024.0,185500.0,1253.0,0.08,0.2
117,8001008901,2019,20.0,20.0,1.0,4.0,2800.0,26437.0,231400.0,1260.0,0.03,0.18
118,8001008901,2020,32.0,32.0,1.0,4.0,2741.0,25559.0,255800.0,1394.0,0.03,0.11
119,8001008901,2021,39.0,39.0,1.0,4.0,2732.0,27126.0,277400.0,1367.0,0.06,0.09
120,8001009101,2014,0.0,0.0,0.0,117.0,4404.0,25011.0,142900.0,1132.0,0.14,0.13
121,8001009101,2015,0.0,0.0,0.0,117.0,4652.0,30192.0,152700.0,1133.0,0.13,0.08
122,8001009101,2016,0.0,0.0,0.0,117.0,4694.0,30707.0,163300.0,1235.0,0.05,0.16
123,8001009101,2017,0.0,0.0,0.0,117.0,4876.0,30455.0,179700.0,1332.0,0.03,0.13
124,8001009101,2018,0.0,0.0,0.0,117.0,4766.0,32171.0,212500.0,1431.0,0.02,0.16
125,8001009101,2019,0.0,0.0,0.0,117.0,4639.0,33807.0,258000.0,1484.0,0.02,0.12
126,8001009101,2020,0.0,0.0,0.0,117.0,5052.0,36773.0,291500.0,1512.0,0.01,0.09
127,8001009101,2021,0.0,0.0,0.0,117.0,4506.0,39893.0,319100.0,1627.0,0.01,0.02
128,8001009202,2014,0.0,0.0,0.0,75.0,4412.0,25637.0,146400.0,1195.0,0.13,0.12
129,8001009202,2015,0.0,0.0,0.0,75.0,4592.0,25605.0,151700.0,1189.0,0.12,0.16
