,tract,dispensary_status,matched_tract
227,8031003701,1,8083969600
228,8031003703,0,8013012208
229,8031003703,0,8013013201
230,8031003703,0,8031005300
231,8031003801,1,8005084500
232,8031003902,1,8069001607
233,8031004002,1,8035014112
234,8031004101,1,8069000901
235,8031004102,1,8041004100
236,8031004110,1,8001009101
237,8031004201,1,8041003303
238,8031004302,1,8123001300
239,8031004309,1,8035013904
240,8031004310,0,8069001601
241,8031004403,1,8039961206
242,8031004404,0,8077000300
243,8031004407,0,8117000101
244,8031004503,1,8113968102
245,8031004504,0,8123000200
246,8031004505,0,8031007037
247,8031004505,0,8069000402
248,8031004505,0,8123000401
249,8031004506,1,8001008100
250,8031004601,1,8101002807
251,8031004801,0,8037000100
252,8031004801,0,8037000502
253,8031004801,0,8123002300
254,8031005003,1,8049000204
255,8031005004,1,8005006400
256,8031005104,0,8015000404
257,8031005200,1,8123002005
258,8031005300,1,8031003703
259,8031005502,0,8041000800
260,8031005503,1,8069001715
261,8031006701,0,8069000300
262,8031006810,1,8005085700
263,8031006812,1,8035014205
264,8031006814,1,8013013703
265,8031006818,1,8005087200
266,8031006903,1,8041001600
267,8031007013,0,8101000902
268,8031007037,1,8031004505
269,8031007088,0,8069001301
270,8031007088,0,8069001901
271,8031007088,0,8097000403
272,8031007090,0,8001009320
273,8031007090,0,8041000203
274,8031007090,0,8099000700
275,8031008305,0,8031001302
276,8031008312,1,8123002008
277,8031012015,1,8005084100
278,8031015400,1,8041000900
279,8031015600,1,8069001712
280,8031015800,1,8049000204
281,8031980200,0,8013060900
282,8033000100,1,8121924100
283,8035013904,0,8031004309
284,8035014112,0,8013012710
285,8035014112,0,8013013210
286,8035014112,0,8031004002
287,8035014126,0,8037000701
288,8035014126,0,8069001813
289,8035014126,0,8083969100
290,8035014139,0,8077001302
291,8035014146,0,8117000102
292,8035014205,0,8031003006
293,8035014205,0,8031006812
294,8035014206,0,8077000700
295,8035014207,0,8069001708
296,8037000100,1,8031004801
297,8037000200,1,8005006808
298,8037000301,1,8059012037
299,8037000302,1,8059010212
300,8037000401,1,8041003708
301,8037000402,1,8091967601
302,8037000404,1,8013013703
303,8037000502,1,8031004801
304,8037000504,1,8013012709
305,8037000600,1,8039961100
306,8037000701,1,8035014126
307,8037000703,1,8041000900
308,8039961100,0,8005004952
309,8039961100,0,8037000600
310,8039961100,0,8081000500
311,8039961204,0,8123002101
312,8039961206,0,8031004403
313,8039961209,0,8031003002
314,8041000102,1,8059010211
315,8041000104,0,8041001901
316,8041000104,0,8101001800
317,8041000202,1,8085966602
318,8041000203,1,8031007090
319,8041000301,1,8041002902
320,8041000302,1,8077000601
321,8041000400,1,8001009306
322,8041000500,1,8001060001
323,8041000600,1,8123001411
324,8041000700,1,8005005701
325,8041000800,1,8031005502
326,8041000900,0,8019014900
327,8041000900,0,8031015400
328,8041000900,0,8037000703
329,8041001000,1,8091967601
330,8041001101,0,8041001301
331,8041001301,1,8041001101
332,8041001302,1,8005081600
333,8041001500,1,8043979001
334,8041001600,0,8031006903
335,8041001800,1,8001007900
336,8041001901,1,8041000104
