,population,income,house_value,rent,unemployment,poverty,dispensary_status,scores,match_id,record_id
1115,2118,43092,673600,1490,0.04,0.12,1,0.6114573725678499,36,1115
383,3107,56132,593800,1288,0.03,0.16,0,0.6116757726618297,36,383
473,3562,50897,473300,2468,0.03,0.03,0,0.38396649397380117,37,473
1116,6006,35662,359500,1409,0.08,0.09,1,0.3845064865215928,37,1116
1117,4736,42976,472300,1438,0.03,0.15,1,0.5209946491156598,38,1117
923,5966,26501,180500,1105,0.08,0.17,0,0.520861144067307,38,923
1118,4031,54149,700300,1545,0.03,0.05,1,0.3894001250465029,39,1118
103,5094,43885,510600,1644,0.03,0.08,0,0.389448584465773,39,103
1119,1976,39598,473000,1229,0.02,0.17,1,0.6865686687929268,40,1119
380,4439,46563,428400,1236,0.07,0.24,0,0.686708341520072,40,380
1120,5361,53351,430600,1569,0.04,0.07,1,0.3590420071047018,41,1120
446,717,5682,550000,-666666666,0.0,0.0,0,0.35887567482898364,41,446
1122,2475,29773,341300,1126,0.02,0.15,1,0.6402217896851998,42,1122
687,1466,51016,479000,1136,0.09,0.11,0,0.6422274815579972,42,687
1123,4895,36133,454900,1359,0.03,0.15,1,0.5172725941652746,43,1123
623,3443,34577,291200,1215,0.08,0.09,0,0.517382451453698,43,623
946,3131,30992,428100,1385,0.08,0.06,0,0.487289360838947,44,946
1124,3410,39522,512900,905,0.01,0.09,1,0.4868482897900662,44,1124
1125,4429,31322,350000,1098,0.01,0.06,1,0.39199589849143185,45,1125
798,3238,70027,644200,1741,0.04,0.03,0,0.3919636455975739,45,798
1126,1894,29947,452000,-666666666,0.15,0.09,1,0.48316025289503045,46,1126
938,3976,25580,174500,684,0.05,0.09,0,0.48313727971279613,46,938
1127,2333,30595,330000,1130,0.15,0.09,1,0.6049965092686691,47,1127
414,4032,37327,392500,1226,0.06,0.17,0,0.6050293613812933,47,414
1128,1691,41115,157500,719,0.03,0.11,1,0.6146144727131547,48,1128
939,2199,24375,166800,685,0.03,0.12,0,0.6153677033341072,48,939
973,4228,38653,275600,1625,0.05,0.09,0,0.461175698110561,49,973
1129,2124,45475,512100,1090,0.07,0.02,1,0.46118373184995315,49,1129
1130,1839,27813,383500,1141,0.04,0.09,1,0.5884013454713802,50,1130
365,1949,43472,596400,996,0.04,0.1,0,0.5884670389263998,50,365
1131,2562,37679,307200,1124,0.04,0.09,1,0.5448297754265872,51,1131
532,2594,47270,393800,1378,0.06,0.09,0,0.5449492175965918,51,532
1132,1892,20250,155500,715,0.09,0.25,1,0.8153638492567093,52,1132
544,1677,22344,186700,1044,0.11,0.24,0,0.8164143646563603,52,544
1133,1625,19613,110600,601,0.06,0.19,1,0.7514867608380105,53,1133
149,1429,51132,383300,1661,0.09,0.19,0,0.7521214360042952,53,149
1134,3713,39527,296300,889,0.04,0.09,1,0.4833839230651407,54,1134
938,3976,25580,174500,684,0.05,0.09,0,0.48313727971279613,54,938
248,4701,38167,326100,1608,0.04,0.11,0,0.46513298825700483,55,248
1135,3747,64509,585500,2100,0.08,0.08,1,0.4651724750762276,55,1135
1136,3504,34760,367700,1138,0.04,0.08,1,0.4812530997443695,56,1136
87,2570,29601,320300,1311,0.07,0.04,0,0.4809644526380204,56,87
1137,4327,39491,523300,1180,0.05,0.21,1,0.645997566601677,57,1137
332,1243,48450,-666666666,1861,0.01,0.07,0,0.6456391383746994,57,332
1138,5383,77671,672600,1580,0.02,0.09,1,0.3658230557174106,58,1138
59,6928,35662,377000,1689,0.03,0.12,0,0.365749175517624,58,59
1139,4709,63279,603100,1427,0.03,0.06,1,0.36564835541207436,59,1139
792,3757,46774,582500,1339,0.04,0.02,0,0.3656287994327908,59,792
285,3339,71458,705500,2259,0.03,0.02,0,0.36690060608795455,60,285
1140,4998,61660,638700,1522,0.03,0.07,1,0.3676999548097322,60,1140
